event_id,location_name,district,state,event_date,event_time,latitude,longitude,source,description,coordinate_status,cell_id,matched_district
LS_KOH_2024_001,Dzudza Bridge (NH-29),Kohima,Nagaland,2024-08-18,04:30,25.688500,94.027000,NSDMA / Kohima District Administration / PIB,Catastrophic mudslide and slope failure cutting off NH-29; stranded 100+ trucks and disrupted primary regional supply line,VERIFIED,KOH_01378,Kohima
LS_KOH_2024_002,Kisama Heritage Village Road,Kohima,Nagaland,2024-06-29,11:00,25.602500,94.119200,NSDMA / Nagaland Post,Severe land sinking and tension cracks on Kigwema-Mima-Chakhabama road sector near Kisama heritage area following incessant monsoon rains,VERIFIED,KOH_03175,Kohima
LS_KOH_2023_001,Phesama Sector (NH-29 South),Kohima,Nagaland,2023-07-21,15:45,25.626000,94.112000,NSDMA / GSI Post-Disaster Report,Reactivation of chronic translational slope failure along NH-29 Kohima-Imphal highway due to prolonged precipitation,VERIFIED,KOH_03071,Kohima
LS_KOH_2022_001,Sechu Zubza Western Slope,Kohima,Nagaland,2022-07-09,08:15,25.703200,94.019500,NSDMA / Morung Express,Debris flow and boulder collapse causing total blockage of inter-district transit route,VERIFIED,KOH_01187,Kohima
LS_KOH_2021_001,Tarliedzu Area,Kohima,Nagaland,2021-09-04,14:00,25.667000,94.095000,Nagaland Dept. of Geology and Mining / GSI,Deep-seated rotational and translational slide in fractured Disang shales destabilized by heavy monsoonal runoff,VERIFIED,KOH_02654,Kohima
LS_KOH_2024_003,Kigwema-Mima Road Junction,Kohima,Nagaland,2024-07-12,09:30,25.591000,94.135000,NSDMA Travel Advisory,Slope collapse on connecting rural road; approximate road junction coordinates require field GPS verification,NEEDS_VERIFICATION,,
LS_KOH_2023_002,Kezocha Town Approach,Kohima,Nagaland,2023-08-05,17:00,25.568000,94.135000,Kohima DDMA Situation Report,Agricultural terraced hillside slippage; approximate town coordinates used pending surveyed crown demarcation,NEEDS_VERIFICATION,,
LS_KOH_2022_002,Jotsoma Bypass Section,Kohima,Nagaland,2022-06-19,10:30,,,NSDMA Monsoonal Bulletin,Debris blockage reported along Jotsoma bypass; spatial coordinates not recorded in official summary log,MISSING,,
LS_KOH_2020_001,Old Reserve Colony,Kohima,Nagaland,2020-08-15,06:00,,,Kohima Municipal Council / DDMA,Retaining wall collapse and urban mudflow following intense nocturnal cloudburst; GPS coordinates unrecorded,MISSING,,
LS_AIZ_2024_001,Melthum Stone Quarry,Aizawl,Mizoram,2024-05-28,06:00,23.689500,92.716500,MSDMA / NDRF / PIB,Massive quarry slope collapse during Cyclone Remal causing 14 fatalities and widespread debris inundation,VERIFIED,AIZ_01960,Aizawl
LS_AIZ_2024_002,Hlimen Veng Southern Ridge,Aizawl,Mizoram,2024-05-28,07:30,23.680200,92.723100,MSDMA / Local Disaster Task Force,Severe landslide and residential building collapses triggered by extreme precipitation during Cyclone Remal,VERIFIED,AIZ_02185,Aizawl
LS_AIZ_2023_001,Durtlang Hills Highway Sector,Aizawl,Mizoram,2023-07-02,16:20,23.778100,92.730200,MSDMA / PWD Mizoram,Slope failure along Durtlang ridge road causing partial highway collapse and structural danger to downslope dwellings,VERIFIED,AIZ_02321,Aizawl
LS_AIZ_2022_001,Sihphir Approach Road (NH-54),Aizawl,Mizoram,2022-06-18,12:00,23.824500,92.738800,MSDMA / All India Radio Aizawl,Highway blockage due to mud and rock slide along northern arterial corridor,VERIFIED,AIZ_02559,Aizawl
LS_AIZ_2021_001,Ramhlun Vengthlang Slope,Aizawl,Mizoram,2021-08-27,05:45,23.749000,92.729000,Aizawl Municipal Corporation (AMC),Shallow translational slope failure threatening multiple houses on steep urban hillside,VERIFIED,AIZ_02314,Aizawl
LS_AIZ_2020_001,Bawngkawn Chhimveng,Aizawl,Mizoram,2020-09-22,18:10,23.761000,92.736000,MSDMA Monsoon Update,Urban hillside debris slide damaging boundary retaining walls and local road,VERIFIED,AIZ_02431,Aizawl
LS_AIZ_2024_003,Armed Veng / Salem Veng Sinking Area,Aizawl,Mizoram,2024-05-29,14:00,23.732000,92.738000,MSDMA Disaster Update,Progressive ground sinking and road cracking during Cyclone Remal; locality centroid used pending GPS slip-plane survey,NEEDS_VERIFICATION,,
LS_AIZ_2023_002,Sairang Rail Link Approach,Aizawl,Mizoram,2023-08-24,11:15,23.795000,92.658000,PWD Mizoram / Local Reports,Slope cut failure near western approach corridor; approximate alignment coordinates require boundary validation,NEEDS_VERIFICATION,,
LS_AIZ_2022_002,Rangvamual Bypass Sector,Aizawl,Mizoram,2022-07-14,08:00,,,MSDMA Incident Bulletin,Substantial road foundation displacement on western bypass; coordinates unrecorded in daily bulletin,MISSING,,
LS_AIZ_2020_002,Falkawn Access Corridor,Aizawl,Mizoram,2020-07-11,13:30,,,Mizoram DM and R Department,Mudslide obstructing primary medical access road; exact GPS coordinates not recorded,MISSING,,
