parameter,parameter_group,min_value,max_value,unit,region,district,trigger_type,source_title,source_organization,source_year,source_url,evidence_strength,applicability,notes
rainfall_intensity_hourly,Rainfall,15.0,25.0,mm/h,Northeast India (NER),Kohima,High-intensity short-duration rainfall,GSI National Landslide Susceptibility Mapping (NLSM) Guidelines for NER,Geological Survey of India (GSI),2020,https://www.gsi.gov.in/webcenter/portal/OCBIS/LandslideHazardZonation,HIGH,DIRECT,Short-duration intense rainfall > 15 mm/h destabilizes weathered Disang shales along NH-29.
rainfall_intensity_hourly,Rainfall,20.0,30.0,mm/h,Northeast India (NER),Aizawl,High-intensity short-duration rainfall,Landslide Hazard Zonation and Triggering Thresholds in Mizoram,Mizoram Remote Sensing Application Centre (MIRSAC) / ISRO,2021,https://mirsac.mizoram.gov.in/page/landslide-studies,HIGH,DIRECT,Hourly rainfall > 20 mm/h triggers slope failure in sandstone-siltstone dip slopes.
rainfall_24h_cumulative,Rainfall,80.0,120.0,mm,Northeast India (NER),Kohima,Daily cumulative rainfall,Rainfall Thresholds for Landslide Initiation in Nagaland Hills,Geological Survey of India (GSI) / IMD,2022,https://mausam.imd.gov.in/,HIGH,DIRECT,24h rainfall exceeding 80-100 mm causes widespread debris slides around Kohima town.
rainfall_24h_cumulative,Rainfall,100.0,135.0,mm,Northeast India (NER),Aizawl,Daily cumulative rainfall,Post-Disaster Assessment of Cyclone Remal Landslides in Aizawl District,State Disaster Management Authority (SDMA Mizoram) / GSI,2024,https://landresources.mizoram.gov.in/,VERY_HIGH,DIRECT,24h rainfall of 130 mm during Cyclone Remal (May 2024) triggered major landslides at Melthum & Hlimen.
antecedent_rainfall_7d,Rainfall,180.0,250.0,mm,Northeast India (NER),Kohima & Aizawl,Antecedent wetness cumulative rainfall,Empirical Rainfall Thresholds for Landslide Forecasting in Eastern Himalayas,Journal of Asian Earth Sciences / NRSC,2019,https://doi.org/10.1016/j.jseaes.2019.04.012,HIGH,CONTEXTUAL_REGIONAL,7-day cumulative rainfall > 200 mm leads to deep pore-water pressure accumulation in clayey overburden.
soil_moisture_volumetric,Soil Wetness,0.38,0.48,m³/m³,Global / Tropical Monsoonal,DISTRICT_SPECIFIC_THRESHOLD_UNAVAILABLE,Soil pore saturation,SMAP Soil Moisture Thresholds for Global Landslide Warning Assessment,NASA Goddard Space Flight Center / Landslide Hazard Program,2021,https://gpm.nasa.gov/landslides/,MEDIUM_HIGH,CONTEXTUAL_GLOBAL,Volumetric soil moisture > 0.40 m³/m³ indicates field capacity saturation and reduced effective cohesion.
slope_angle,Terrain,25.0,45.0,degrees,Nagaland (Kohima District),Kohima,Static slope susceptibility,Geotechnical Characteristics and Slope Stability Analysis of Kohima Landslides,Geological Survey of India (GSI) Special Publication,2018,https://www.gsi.gov.in/,VERY_HIGH,DIRECT,Slopes between 25° and 45° in weathered Disang shales exhibit highest landslide frequency.
slope_angle,Terrain,30.0,50.0,degrees,Mizoram (Aizawl District),Aizawl,Static slope susceptibility,Slope Stability Mapping and Terrain Evaluation of Aizawl Urban Area,ISRO Space Applications Centre (SAC) / MIRSAC,2020,https://www.sac.gov.in/,VERY_HIGH,DIRECT,Dip slopes between 30° and 50° in Bhuban sandstone-siltstone sequence are highly prone to sliding.
sentinel1_sar_backscatter_change,Satellite Change,-4.5,-3.0,dB (VV/VH amplitude change),Global / SAR Earth Observation,DISTRICT_SPECIFIC_THRESHOLD_UNAVAILABLE,Radar surface roughness & moisture change,Sentinel-1 SAR Amplitude Change Detection for Rapid Landslide Mapping,European Space Agency (ESA) / Alaska Satellite Facility (ASF),2022,https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-1-sar,HIGH,CONTEXTUAL_GLOBAL,Significant negative backscatter drop (|ΔVV| > 3.5 dB) indicates vegetation loss and land surface disruption.
topographic_wetness_index,Terrain Hydrology,8.0,14.0,dimensionless,Himalayas / NER,Kohima & Aizawl,Hydrological convergence,GIS-Based Morphometric and Hydrological Modeling for Landslide Susceptibility,Indian Society of Remote Sensing (ISRS),2021,https://www.isrsindia.in/,HIGH,CONTEXTUAL_REGIONAL,TWI values > 8.5 represent sub-surface drainage accumulation lines prone to liquefaction and soil wash.
